"scenario","area_km2","delta","delta_perc"
"current",2587403.75733796,0,0
"ssp1",2278609.66320921,-308794.094128752,-11.9345151777337
"ssp2",1360697.04130882,-1226706.71602914,-47.4107186615215
"ssp3",900200.775023201,-1687202.98231476,-65.2083377992243
