"scenario","area_km2","delta","delta_perc"
"current",2951647.97319862,0,0
"ssp1",2563537.08343895,-388110.889759672,-13.1489558810459
"ssp2",1523952.88073962,-1427695.092459,-48.3694229604166
"ssp3",1030343.06641996,-1921304.90677865,-65.092616877906
