"waic","dic"
1105.03584599981,5466.48589331389
1140.39120390504,5466.78403885645
1128.43649265442,5467.62472457717
1182.30642565582,5469.86900912354
1196.30570410913,5468.32812599755
1185.79903059803,5470.04251530242
