"","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
"Intercept",-12.1035016832912,0.501871310176016,-13.14411901707,-12.0860435481808,-11.1610762287264,-12.052941278215,2.88553258661641e-06
"sal",1.23221556835663,0.355085874415547,0.574021440912273,1.21832308874521,1.96853965011413,1.19077727779397,2.66797901308277e-06
"dist",-0.744354530929303,0.133050564140387,-1.01410192560421,-0.741334704517828,-0.491715497573395,-0.73540860793219,1.09003123981937e-07
"ph",0.00837093710373219,0.263052565326479,-0.481357995363195,-0.00156822455499618,0.55425429518408,-0.0207450901580302,2.8006787803934e-06
"sigma",0.684179407342724,0.0801875075871541,0.541798473229324,0.678652360486629,0.856373982727992,NA,NA
"range",593.457327838013,126.956101696538,381.968449527317,580.358976641244,878.737908972157,NA,NA
"temp_sd",2.91666484099957,0.96177763424423,1.37357552344733,2.80980343194333,5.09046610381235,NA,NA
