"","rand1","rand2","rand3","rand4","rand5","rand6","rand7","rand8","rand9","rand10","rand11","rand12","rand13","rand14","rand15","rand16","rand17","rand18","rand19","rand20"
"BO21_tempmean_ss",0.237939,0.217593,0.23672,0.200781,0.256885,0.202988,0.177397,0.261234,0.229245,0.267477,0.228931,0.268113,0.216937,0.185586,0.22761,0.26414,0.256803,0.207107,0.238109,0.204838
"BO21_salinitymin_ss",0.046265,0.0574789999999999,0.0591930000000001,0.054092,0.04996,0.044869,0.035722,0.039421,0.046118,0.052879,0.043331,0.050453,0.055369,0.04993,0.051607,0.042673,0.042109,0.045273,0.047299,0.034337
"BO21_lightbotmax_bdmax",0.258607,0.264789,0.240665,0.325076,0.28722,0.247258,0.311587,0.275134,0.290652,0.26267,0.283068,0.259186,0.287506,0.257333,0.264789,0.242487,0.291945,0.260595,0.295092,0.275537
"BO_ph",0.081816,0.066739,0.078616,0.061333,0.06828,0.089287,0.061352,0.06171,0.086208,0.076781,0.045709,0.073479,0.058623,0.051697,0.0743549999999999,0.0719,0.056972,0.065877,0.070067,0.057164
"BO21_chlomean_ss",0.040673,0.036021,0.043247,0.048144,0.048745,0.050987,0.03189,0.050559,0.039297,0.044597,0.042009,0.050878,0.035986,0.031852,0.03388,0.034407,0.044356,0.050569,0.035057,0.040482
"BO21_silicatemean_ss",0.06228,0.070974,0.04588,0.063612,0.049582,0.049675,0.048492,0.038477,0.052283,0.049648,0.050197,0.04969,0.059819,0.060929,0.057082,0.0517300000000001,0.054973,0.073271,0.049574,0.061771
"BO21_dissoxmin_ss",0.045946,0.052793,0.0502089999999999,0.052315,0.054409,0.047521,0.046436,0.041093,0.052918,0.047305,0.049005,0.03986,0.042561,0.040336,0.043354,0.055428,0.043774,0.0458769999999999,0.043458,0.045337
