"","RF.RUN1.PA1","GBM.RUN1.PA1","GLM.RUN1.PA1","GAM.RUN1.PA1","RF.RUN2.PA1","GBM.RUN2.PA1","GLM.RUN2.PA1","GAM.RUN2.PA1","RF.RUN3.PA1","GBM.RUN3.PA1","GLM.RUN3.PA1","GAM.RUN3.PA1","RF.RUN4.PA1","GBM.RUN4.PA1","GLM.RUN4.PA1","GAM.RUN4.PA1","RF.RUN5.PA1","GBM.RUN5.PA1","GLM.RUN5.PA1","GAM.RUN5.PA1","RF.RUN6.PA1","GBM.RUN6.PA1","GLM.RUN6.PA1","GAM.RUN6.PA1"
"BO21_tempmean_ss",0.128,0.406,0.824,0.868,0.152,0.453,0.687,0.83,0.152,0.411,0.605,0.825,0.114,0.46,0.855,0.928,0.13,0.461,0.82,0.871,0.158,0.445,0.753,0.847
"BO21_salinitymin_ss",0.103,0.144,0.256,0.53,0.076,0.027,0.22,0.268,0.085,0.07,0.149,0.155,0.114,0.027,0.348,0.506,0.044,0.017,0.185,0.312,0.072,0.026,0.196,0.357
"BO21_lightbotmax_bdmax",0.209,0.516,0.245,0.407,0.227,0.444,0.288,0.235,0.209,0.509,0.33,0.415,0.164,0.299,0.207,0.239,0.259,0.592,0.314,0.322,0.209,0.452,0.289,0.352
"BO_ph",0.064,0.039,0.276,0.164,0.035,0.077,0.348,0.282,0.031,0.073,0.331,0.331,0.049,0.142,0.366,0.34,0.023,0.042,0.324,0.209,0.037,0.064,0.332,0.215
"BO21_chlomean_ss",0.051,0.003,0.235,0.345,0.059,0.011,0.214,0.172,0.073,0.014,0.172,0.154,0.076,0.032,0.333,0.344,0.066,0.011,0.211,0.388,0.052,0.016,0.227,0.402
"BO21_silicatemean_ss",0.044,0.14,0.214,0.133,0.037,0.131,0.158,0.226,0.036,0.132,0.195,0.289,0.023,0.09,0.155,0.239,0.058,0.178,0.141,0.171,0.043,0.133,0.169,0.092
"BO21_dissoxmin_ss",0.017,0.002,0.466,0.547,0.018,0.004,0.368,0.498,0.021,0.003,0.302,0.387,0.019,0.001,0.494,0.599,0.015,0.005,0.419,0.55,0.015,0.001,0.364,0.571
