"","RF.RUN1.PA1","GBM.RUN1.PA1","GLM.RUN1.PA1","RF.RUN2.PA1","GBM.RUN2.PA1","GLM.RUN2.PA1","RF.RUN3.PA1","GBM.RUN3.PA1","GLM.RUN3.PA1","RF.RUN4.PA1","GBM.RUN4.PA1","GLM.RUN4.PA1","RF.RUN5.PA1","GBM.RUN5.PA1","GLM.RUN5.PA1","RF.RUN6.PA1","GBM.RUN6.PA1","GLM.RUN6.PA1"
"BO21_tempmean_ss",0.126,0.392,0.849,0.153,0.46,0.688,0.155,0.403,0.597,0.113,0.451,0.854,0.13,0.454,0.817,0.16,0.434,0.755
"BO21_salinitymin_ss",0.1,0.155,0.249,0.077,0.027,0.223,0.088,0.07,0.146,0.112,0.027,0.347,0.043,0.018,0.184,0.074,0.028,0.19
"BO21_lightbotmax_bdmax",0.212,0.527,0.249,0.222,0.446,0.287,0.213,0.52,0.326,0.163,0.302,0.204,0.252,0.589,0.314,0.211,0.464,0.291
"BO_ph",0.064,0.039,0.277,0.036,0.077,0.346,0.032,0.073,0.332,0.05,0.133,0.377,0.024,0.041,0.327,0.037,0.062,0.333
"BO21_chlomean_ss",0.05,0.003,0.24,0.059,0.011,0.216,0.072,0.014,0.17,0.075,0.032,0.333,0.064,0.012,0.208,0.053,0.015,0.218
"BO21_silicatemean_ss",0.043,0.136,0.208,0.036,0.128,0.159,0.037,0.13,0.202,0.023,0.088,0.149,0.058,0.172,0.148,0.046,0.133,0.158
"BO21_dissoxmin_ss",0.017,0.002,0.461,0.017,0.004,0.378,0.021,0.003,0.309,0.018,0.001,0.5,0.015,0.005,0.417,0.015,0.001,0.366
