"","RF.RUN1.PA1","GBM.RUN1.PA1","GLM.RUN1.PA1","GAM.RUN1.PA1","RF.RUN2.PA1","GBM.RUN2.PA1","GLM.RUN2.PA1","GAM.RUN2.PA1","RF.RUN3.PA1","GBM.RUN3.PA1","GLM.RUN3.PA1","GAM.RUN3.PA1","RF.RUN4.PA1","GBM.RUN4.PA1","GLM.RUN4.PA1","GAM.RUN4.PA1","RF.RUN5.PA1","GBM.RUN5.PA1","GLM.RUN5.PA1","GAM.RUN5.PA1","RF.RUN6.PA1","GBM.RUN6.PA1","GLM.RUN6.PA1","GAM.RUN6.PA1"
"BO21_lightbotmax_bdmean",0.002,0,0,0,0,0,0,0,0.001,0,0,0,0.002,0,0,0,0.003,0.001,0,0.083,0.001,0,0,0
"BO_ph",0.026,0.114,0.19,0.244,0.038,0.149,0.203,0.367,0.024,0.024,0.214,0.214,0.043,0.174,0.231,0.292,0.038,0.108,0.237,0.204,0.032,0.147,0.184,0.286
"BO21_chlomean_ss",0.034,0.008,0.175,0.114,0.024,0.002,0.139,0.142,0.021,0.008,0.056,0.014,0.024,0.007,0.028,0.011,0.008,0.001,0,0.075,0.021,0.008,0.092,0.149
"BO21_silicatemean_ss",0.035,0.026,0.209,0.303,0.02,0.048,0.387,0.378,0.054,0.08,0.285,0.406,0.029,0.021,0.296,0.268,0.057,0.011,0.36,0.185,0.034,0.038,0.251,0.273
"coldest_quarter",0.259,0.64,0.817,0.848,0.341,0.752,0.866,0.801,0.311,0.69,0.747,0.7,0.325,0.743,0.737,0.631,0.24,0.466,0.878,0.558,0.262,0.658,0.856,0.749
"BO21_salinitymean_ss",0.091,0.107,0,0.066,0.088,0.039,0.077,0.058,0.093,0.067,0,0.084,0.077,0.048,0.018,0.029,0.156,0.371,0.29,0.349,0.12,0.087,0,0.002
"warmest_quarter",0.025,0,0.124,0.213,0.021,0,0,0.101,0.032,0.002,0,0.181,0.03,0.002,0,0.249,0.029,0.004,0.217,0.287,0.041,0,0.079,0.101
