"","RF.RUN1.PA1","GBM.RUN1.PA1","GLM.RUN1.PA1","RF.RUN2.PA1","GBM.RUN2.PA1","GLM.RUN2.PA1","RF.RUN3.PA1","GBM.RUN3.PA1","GLM.RUN3.PA1","RF.RUN4.PA1","GBM.RUN4.PA1","GLM.RUN4.PA1","RF.RUN5.PA1","GBM.RUN5.PA1","GLM.RUN5.PA1","RF.RUN6.PA1","GBM.RUN6.PA1","GLM.RUN6.PA1"
"BO21_tempmean_ss",0.11,0.228,0.157,0.067,0.068,0.739,0.072,0.08,0.753,0.161,0.268,0.499,0.063,0.03,0.491,0.089,0.188,0.525
"BO21_salinitymin_ss",0.061,0.04,0.188,0.079,0.091,0.148,0.099,0.153,0.281,0.024,0.003,0.157,0.063,0.039,0.14,0.079,0.036,0.162
"BO21_lightbotmax_bdmax",0.241,0.414,0.413,0.218,0.409,0.329,0.196,0.428,0.257,0.16,0.26,0.27,0.225,0.526,0.286,0.19,0.402,0.288
"BO_ph",0.019,0.028,0.315,0.043,0.061,0.302,0.023,0.015,0.177,0.032,0.055,0.29,0.051,0.106,0.273,0.03,0.043,0.263
"BO21_chlomean_ss",0.015,0.003,0.132,0.035,0.018,0,0.024,0.011,0.269,0.044,0.034,0.317,0.018,0.001,0.251,0.028,0.012,0.165
"BO21_silicatemean_ss",0.042,0.045,0.4,0.021,0.02,0.251,0.035,0.032,0,0.023,0.06,0.181,0.033,0.052,0.205,0.024,0.06,0.164
"BO21_dissoxmin_ss",0.017,0.002,0.213,0.007,0,0.147,0.009,0.001,0.42,0.02,0.005,0.289,0.018,0.014,0.297,0.013,0.002,0.284
