"","rand1","rand2","rand3","rand4","rand5","rand6","rand7","rand8","rand9","rand10","rand11","rand12","rand13","rand14","rand15","rand16","rand17","rand18","rand19","rand20"
"BO21_tempmax_ss",0.50741,0.407507,0.467256,0.457529,0.463381,0.464169,0.471591,0.444212,0.477446,0.449451,0.475232,0.448055,0.483632,0.431637,0.434045,0.440061,0.465072,0.460953,0.462346,0.415679
"BO21_salinitymin_ss",0.074995,0.067038,0.067623,0.085311,0.074647,0.08077,0.085251,0.068195,0.094399,0.074129,0.084206,0.069211,0.08471,0.069079,0.059513,0.074834,0.081946,0.077299,0.066124,0.077377
"BO21_lightbotmax_bdmax",0.317415,0.345273,0.316192,0.32937,0.343995,0.343546,0.310491,0.302316,0.325083,0.338004,0.372827,0.329772,0.286682,0.34635,0.303809,0.314284,0.364132,0.342949,0.352015,0.348662
"BO_ph",0.111732,0.125108,0.104795,0.120561,0.125482,0.10774,0.110127,0.117769,0.118171,0.124978,0.120129,0.113318,0.12699,0.134115,0.145092,0.107262,0.108324,0.127707,0.117716,0.133207
"BO21_chlomean_ss",0.135239,0.130855,0.133348,0.120517,0.138167,0.138331,0.128727,0.122269,0.120805,0.12925,0.142491,0.128573,0.120669,0.128642,0.124852,0.143491,0.141437,0.139188,0.119917,0.112473
"BO21_silicatemean_ss",0.147415,0.141735,0.158811,0.154705,0.169218,0.146119,0.179641,0.169275,0.15491,0.142228,0.173474,0.144836,0.149695,0.161292,0.16841,0.162633,0.146982,0.147138,0.155398,0.165939
"BO21_dissoxmin_ss",0.144493,0.146826,0.150509,0.14106,0.16779,0.143061,0.14616,0.153914,0.151041,0.152122,0.167641,0.152796,0.153758,0.146335,0.156784,0.143974,0.155095,0.151448,0.155022,0.152755
