"decimalLongitude","decimalLatitude","eclu"
-80.2083333333333,25.5416666666667,1
-81.2083333333333,24.7083333333333,1
-81.125,24.7083333333333,1
-77.7916666666667,24.7083333333333,1
-81.2916666666667,24.625,1
-81.7916666666667,24.5416666666667,1
-81.7083333333333,24.4583333333333,1
-81.2916666666667,24.4583333333333,1
-97.7083333333333,24.375,1
-97.7083333333333,24.2916666666667,1
-77.7916666666667,23.7083333333333,1
-75.7916666666667,23.5416666666667,1
-89.9583333333333,22.9583333333333,1
-91.375,22.125,1
-84.5416666666667,21.9583333333333,1
-86.9583333333333,21.875,1
-87.9583333333333,21.625,1
-97.2916666666667,21.5416666666667,1
-97.2083333333333,21.4583333333333,1
-89.125,21.375,1
-86.7916666666667,20.9583333333333,1
-86.7916666666667,20.7916666666667,1
-91.9583333333333,20.7083333333333,1
-87.2083333333333,20.375,1
-91.9583333333333,20.2083333333333,1
-90.7083333333333,19.875,1
-87.625,19.625,1
-95.9583333333333,19.2083333333333,1
-91.5416666666667,18.7083333333333,1
-91.7083333333333,18.625,1
-69.625,18.4583333333333,1
-65.9583333333333,18.4583333333333,1
-70.125,18.2916666666667,1
-63.0416666666667,18.0416666666667,1
-62.375,16.9583333333333,1
-88.0416666666667,16.7916666666667,1
-87.7083333333333,16.7083333333333,1
-61.5416666666667,16.4583333333333,1
-61.7916666666667,16.2083333333333,1
-61.5416666666667,16.2083333333333,1
-61.4583333333333,16.2083333333333,1
-61.7916666666667,16.125,1
-61.5416666666667,16.125,1
-79.875,15.7916666666667,1
-80.2083333333333,14.375,1
-81.2083333333333,14.2916666666667,1
-81.375,13.4583333333333,1
-81.375,13.2916666666667,1
-72.2916666666667,12.2083333333333,1
-72.2083333333333,12.2083333333333,1
-72.125,12.2083333333333,1
-81.875,12.125,1
-74.125,11.375,1
-74.125,11.2916666666667,1
-60.875,11.2083333333333,1
-61.2916666666667,10.7916666666667,1
-61.0416666666667,10.7083333333333,1
-75.7916666666667,10.2083333333333,1
-75.625,10.2083333333333,1
-78.875,9.54166666666667,1
-82.2916666666667,9.45833333333334,1
-79.7916666666667,9.375,1
-82.2916666666667,9.29166666666667,1
-77.375,8.625,1
-35.0416666666667,-6.20833333333333,1
-14.375,-7.875,1
-14.4583333333333,-7.95833333333333,1
-14.375,-7.95833333333333,1
-35.125,-8.79166666666666,1
-35.7083333333333,-9.70833333333333,1
-38.375,-12.9583333333333,1
-38.5416666666667,-13.0416666666667,1
-38.4583333333333,-13.0416666666667,1
-38.875,-13.625,1
-38.9583333333333,-16.2083333333333,1
-38.7083333333333,-17.9583333333333,1
-40.125,-19.9583333333333,1
-29.2916666666667,-20.5416666666667,1
-41.9583333333333,-22.875,1
-41.9583333333333,-22.9583333333333,1
-48.4583333333333,-27.125,1
