"","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
"Intercept",-12.7933568841359,0.482584631757057,-13.8351459655819,-12.7603842718658,-11.9349082433846,-12.6951852718518,4.3181550147839e-06
"sal",1.02412600294204,0.464325151552695,0.17111664398791,1.00268516059653,1.99673585987596,0.960053054916508,4.07325180946656e-06
"dist",-0.872867043596556,0.225164510674117,-1.34276397188987,-0.862987266435679,-0.458276320617981,-0.843310121707142,3.75479025260187e-06
"ph",0.243428060008881,0.344795127052518,-0.383774694901487,0.225232182917958,0.972048890109225,0.188763617375946,3.52501825479621e-06
"chl",-0.143602487176888,0.23648197620215,-0.616012293061361,-0.140681081908338,0.31235194143068,-0.134835904662701,5.10988698132812e-07
"pho",-0.442902867174987,0.579185409945866,-1.62384359790438,-0.428742710328554,0.657432358147222,-0.401912198883043,2.25841905502033e-06
"sigma",0.43755425501671,0.0794491675489761,0.296244441769239,0.432927571841877,0.606947374018683,NA,NA
"range",1226.32265860312,392.303225194593,650.322681732281,1159.08599326393,2176.96059627059,NA,NA
"temp_sd",1.27945158962984,0.772395726407686,0.297521921375559,1.11521713204064,3.2068407466205,NA,NA
