"scenario","area_km2","delta","delta_perc"
"current",3224243.42165796,0,0
"ssp1",2727554.7955592,-496688.626098762,-15.4048116454978
"ssp2",1639458.87310602,-1584784.54855194,-49.1521371465501
"ssp3",1161251.187194,-2062992.23446396,-63.9837619146986
