"","rand1","rand2","rand3","rand4","rand5","rand6","rand7","rand8","rand9","rand10","rand11","rand12","rand13","rand14","rand15","rand16","rand17","rand18","rand19","rand20"
"BO21_tempmean_ss",0.573561,0.560742,0.573185,0.552956,0.56703,0.583252,0.5837,0.589002,0.589387,0.564261,0.568248,0.585922,0.553843,0.605542,0.579768,0.565588,0.575279,0.59472,0.55175,0.589601
"BO21_salinitymin_ss",0.245563,0.246032,0.251045,0.254626,0.224116,0.266058,0.251528,0.261413,0.249456,0.245163,0.266925,0.250507,0.254784,0.241907,0.264563,0.237656,0.269629,0.277413,0.268732,0.254575
"BO21_lightbotmax_bdmax",0.035176,0.03831,0.034591,0.035726,0.033645,0.03404,0.039664,0.033747,0.034308,0.036096,0.034199,0.032624,0.038754,0.033783,0.033769,0.035892,0.037698,0.036458,0.035392,0.033226
"BO_ph",0.121507,0.111084,0.113588,0.127862,0.102061,0.116716,0.121409,0.111238,0.121368,0.121009,0.107402,0.114878,0.125825,0.116013,0.112067,0.124488,0.114246,0.11292,0.113757,0.106521
"BO21_chlomean_ss",0.101154,0.102431,0.10222,0.105056,0.095256,0.095597,0.115624,0.121182,0.088495,0.115589,0.115115,0.10214,0.108948,0.097658,0.106227,0.107978,0.098704,0.108308,0.112089,0.104858
"BO21_silicatemean_ss",0.0861150000000001,0.078702,0.091704,0.091141,0.087354,0.084078,0.097889,0.082418,0.086661,0.087964,0.089053,0.087915,0.093541,0.10317,0.08507,0.089794,0.085294,0.088784,0.095652,0.086677
"BO21_dissoxmin_ss",0.147428,0.153393,0.149281,0.149492,0.14516,0.151872,0.143305,0.148215,0.150122,0.146482,0.143619,0.143708,0.146356,0.148881,0.146602,0.144374,0.154448,0.15046,0.150686,0.156658
