"","RF.RUN1.PA1","GBM.RUN1.PA1","GLM.RUN1.PA1","GAM.RUN1.PA1","RF.RUN2.PA1","GBM.RUN2.PA1","GLM.RUN2.PA1","GAM.RUN2.PA1","RF.RUN3.PA1","GBM.RUN3.PA1","GLM.RUN3.PA1","GAM.RUN3.PA1","RF.RUN4.PA1","GBM.RUN4.PA1","GLM.RUN4.PA1","GAM.RUN4.PA1","RF.RUN5.PA1","GBM.RUN5.PA1","GLM.RUN5.PA1","GAM.RUN5.PA1","RF.RUN6.PA1","GBM.RUN6.PA1","GLM.RUN6.PA1","GAM.RUN6.PA1"
"BO21_lightbotmax_bdmean",0.015,0.018,0,0.176,0.012,0.01,0.004,0.031,0.02,0.015,0.003,0.011,0.02,0.018,0.007,0.042,0.009,0.002,0,0.001,0.015,0.008,0.004,0.009
"BO_ph",0.047,0.134,0.162,0.206,0.044,0.161,0.27,0.268,0.04,0.11,0.194,0.27,0.05,0.165,0.249,0.221,0.047,0.187,0.246,0.252,0.052,0.167,0.213,0.264
"BO21_chlomean_ss",0.018,0.009,0.043,0.129,0.017,0.017,0.012,0.291,0.024,0.019,0,0.087,0.018,0.008,0.022,0.014,0.018,0.029,0.047,0.01,0.016,0.013,0.006,0.007
"BO21_silicatemean_ss",0.023,0.03,0.058,0.249,0.025,0.008,0,0.253,0.019,0.006,0.058,0.141,0.013,0.003,0.133,0.286,0.018,0.007,0.042,0.171,0.024,0.006,0.073,0.095
"coldest_quarter",0.04,0.005,0.228,0.28,0.063,0.037,0.263,0.786,0.044,0.013,0,0.167,0.045,0.018,0.052,0.423,0.059,0.003,0.072,0.249,0.049,0.013,0.174,0.212
"BO21_salinitymean_ss",0.268,0.495,0.338,0.48,0.252,0.375,0.323,0.244,0.283,0.452,0.349,0.342,0.321,0.485,0.342,0.29,0.297,0.413,0.209,0.273,0.291,0.436,0.289,0.341
"warmest_quarter",0.084,0.081,0.453,0.442,0.053,0.065,0.238,0.192,0.058,0.109,0.549,0.546,0.047,0.083,0.308,0.259,0.057,0.24,0.476,0.477,0.057,0.133,0.333,0.419
