"","rand1","rand2","rand3","rand4","rand5","rand6","rand7","rand8","rand9","rand10","rand11","rand12","rand13","rand14","rand15","rand16","rand17","rand18","rand19","rand20"
"BO21_tempmax_ss",0.654981,0.675627,0.677737,0.704485,0.675445,0.65285,0.69826,0.651835,0.708629,0.691327,0.636077,0.680805,0.682479,0.646719,0.643003,0.651983,0.669467,0.651432,0.69443,0.666997
"BO21_salinitymin_ss",0.372346,0.353932,0.335933,0.36252,0.352791,0.326915,0.345333,0.341659,0.364706,0.353406,0.370291,0.365287,0.354754,0.333882,0.342937,0.361507,0.344028,0.337302,0.350832,0.337579
"BO21_lightbotmax_bdmax",0.050693,0.052945,0.048252,0.0424020000000001,0.0461510000000001,0.048796,0.053077,0.047057,0.0398810000000001,0.047185,0.047714,0.049017,0.049681,0.051261,0.052404,0.046139,0.052638,0.042131,0.046867,0.04758
"BO_ph",0.15319,0.166619,0.154883,0.144335,0.135705,0.180956,0.171551,0.169825,0.165982,0.158626,0.155435,0.169584,0.148148,0.160765,0.169563,0.164517,0.159629,0.158795,0.173388,0.174081
"BO21_chlomean_ss",0.144881,0.157035,0.13731,0.147042,0.152687,0.147852,0.145203,0.139907,0.152691,0.153687,0.142501,0.142334,0.161892,0.149475,0.146338,0.131816,0.154243,0.132494,0.149809,0.155961
"BO21_silicatemean_ss",0.031219,0.039956,0.042085,0.036488,0.03338,0.033795,0.038203,0.0455100000000001,0.037336,0.044597,0.034775,0.036375,0.033223,0.043222,0.044719,0.042178,0.036207,0.035092,0.038829,0.041319
"BO21_dissoxmin_ss",0.197646,0.194405,0.198994,0.196038,0.194766,0.20641,0.196115,0.199418,0.198497,0.190269,0.198499,0.198094,0.197331,0.196837,0.200604,0.194656,0.206067,0.205741,0.198538,0.198894
