"","rand1","rand2","rand3","rand4","rand5"
"BO21_lightbotmax_bdmean",0.00451199999999996,0.00507199999999997,0.00469200000000003,0.00527299999999997,0.00513300000000005
"BO_ph",0.149082,0.153372,0.174342,0.169542,0.160252
"BO21_chlomean_ss",0.00466699999999998,0.00431599999999999,0.00424000000000002,0.00431800000000004,0.00383999999999995
"BO21_silicatemean_ss",0.024751,0.026361,0.021611,0.02454,0.023643
"coldest_quarter",0.059463,0.067731,0.070676,0.064059,0.06562
"BO21_salinitymean_ss",0.296695,0.279988,0.299924,0.309041,0.298324
"warmest_quarter",0.216256,0.216981,0.205176,0.183635,0.199609
