"","RF.RUN1.PA1","GBM.RUN1.PA1","GLM.RUN1.PA1","GAM.RUN1.PA1","RF.RUN2.PA1","GBM.RUN2.PA1","GLM.RUN2.PA1","GAM.RUN2.PA1","RF.RUN3.PA1","GBM.RUN3.PA1","GLM.RUN3.PA1","GAM.RUN3.PA1","RF.RUN4.PA1","GBM.RUN4.PA1","GLM.RUN4.PA1","GAM.RUN4.PA1","RF.RUN5.PA1","GBM.RUN5.PA1","GLM.RUN5.PA1","GAM.RUN5.PA1","RF.RUN6.PA1","GBM.RUN6.PA1","GLM.RUN6.PA1","GAM.RUN6.PA1"
"BO21_tempmean_ss",0.116,0.133,0.888,0.811,0.222,0.72,0.915,0.893,0.081,0.031,0.837,0.209,0.097,0.343,0.91,0.955,0.119,0.589,0.624,0.834,0.17,0.499,0.89,0.874
"BO21_salinitymin_ss",0.272,0.292,0.35,0.548,0.193,0.237,0.303,0.363,0.155,0.137,0.325,0.471,0.212,0.266,0.363,0.22,0.208,0.307,0.377,0.473,0.186,0.263,0.351,0.366
"BO21_lightbotmax_bdmax",0.014,0.016,0.041,0.067,0.025,0.049,0.047,0.095,0.027,0.024,0.063,0.056,0.032,0.065,0.108,0.06,0.029,0.009,0.059,0.081,0.028,0.04,0.057,0.054
"BO_ph",0.058,0.153,0.179,0.29,0.052,0.184,0.246,0.359,0.06,0.25,0.18,0.173,0.036,0.116,0.153,0.257,0.042,0.146,0.19,0.263,0.052,0.134,0.181,0.243
"BO21_chlomean_ss",0.056,0.072,0.227,0.276,0.037,0.034,0.278,0.345,0.075,0.206,0.252,0.52,0.08,0.107,0.255,0.242,0.046,0.03,0.29,0.327,0.044,0.056,0.193,0.377
"BO21_silicatemean_ss",0.026,0.016,0.195,0.281,0.021,0.043,0.264,0.365,0.03,0.01,0.195,0.45,0.015,0.006,0.18,0.408,0.02,0.028,0.167,0.265,0.024,0.019,0.193,0.39
"BO21_dissoxmin_ss",0.08,0.056,0.361,0.553,0.097,0.001,0.336,0.397,0.103,0.486,0.256,0.399,0.041,0,0.354,0.498,0.073,0.013,0.152,0.323,0.081,0.005,0.294,0.447
