"","RF.RUN1.PA1","GBM.RUN1.PA1","GLM.RUN1.PA1","RF.RUN2.PA1","GBM.RUN2.PA1","GLM.RUN2.PA1","RF.RUN3.PA1","GBM.RUN3.PA1","GLM.RUN3.PA1","RF.RUN4.PA1","GBM.RUN4.PA1","GLM.RUN4.PA1","RF.RUN5.PA1","GBM.RUN5.PA1","GLM.RUN5.PA1","RF.RUN6.PA1","GBM.RUN6.PA1","GLM.RUN6.PA1"
"BO21_tempmean_ss",0.117,0.133,0.889,0.222,0.717,0.912,0.082,0.03,0.839,0.097,0.35,0.906,0.119,0.588,0.621,0.172,0.499,0.895
"BO21_salinitymin_ss",0.275,0.295,0.35,0.194,0.236,0.301,0.155,0.135,0.329,0.211,0.268,0.356,0.213,0.306,0.374,0.185,0.256,0.352
"BO21_lightbotmax_bdmax",0.014,0.016,0.041,0.025,0.049,0.044,0.027,0.024,0.064,0.032,0.065,0.108,0.028,0.009,0.057,0.028,0.039,0.056
"BO_ph",0.057,0.155,0.176,0.052,0.188,0.247,0.06,0.248,0.175,0.036,0.114,0.153,0.041,0.145,0.192,0.053,0.134,0.181
"BO21_chlomean_ss",0.055,0.072,0.225,0.038,0.032,0.277,0.075,0.204,0.255,0.081,0.107,0.257,0.046,0.03,0.298,0.045,0.055,0.187
"BO21_silicatemean_ss",0.026,0.017,0.196,0.021,0.042,0.266,0.03,0.01,0.193,0.015,0.006,0.184,0.02,0.027,0.164,0.024,0.019,0.193
"BO21_dissoxmin_ss",0.081,0.056,0.356,0.097,0.001,0.334,0.104,0.497,0.257,0.042,0,0.354,0.074,0.013,0.154,0.083,0.005,0.295
