"","RF.RUN1.PA1","GBM.RUN1.PA1","GLM.RUN1.PA1","GAM.RUN1.PA1","RF.RUN2.PA1","GBM.RUN2.PA1","GLM.RUN2.PA1","GAM.RUN2.PA1","RF.RUN3.PA1","GBM.RUN3.PA1","GLM.RUN3.PA1","GAM.RUN3.PA1","RF.RUN4.PA1","GBM.RUN4.PA1","GLM.RUN4.PA1","GAM.RUN4.PA1","RF.RUN5.PA1","GBM.RUN5.PA1","GLM.RUN5.PA1","GAM.RUN5.PA1","RF.RUN6.PA1","GBM.RUN6.PA1","GLM.RUN6.PA1","GAM.RUN6.PA1"
"BO21_tempmax_ss",0.043,0.015,0.13,0.174,0.028,0.004,0.109,NA,0.016,0.009,0.138,0.123,0.028,0.013,0.26,0.75,0.019,0.01,0.45,0.378,0.027,0.007,0.133,0.461
"BO21_salinitymin_ss",0.029,0.008,0.191,0.621,0.073,0.076,0.279,NA,0.052,0.042,0.315,0.39,0.048,0.047,0.312,0.39,0.103,0.294,0.472,0.473,0.052,0.048,0.267,0.527
"BO21_lightbotmax_bdmax",0.186,0.479,0.321,0.371,0.198,0.509,0.358,NA,0.205,0.444,0.305,0.255,0.199,0.422,0.399,0.483,0.217,0.642,0.436,0.461,0.225,0.532,0.365,0.36
"BO_ph",0.013,0.019,0.17,0.268,0.017,0.018,0.15,NA,0.014,0.007,0.234,0.365,0.015,0.01,0.195,0.232,0.008,0.001,0,0.111,0.014,0.01,0.172,0.256
"BO21_chlomean_ss",0.177,0.285,0.415,0.619,0.136,0.094,0.31,NA,0.216,0.437,0.462,0.625,0.183,0.143,0.358,0.555,0.121,0.007,0.112,0.454,0.141,0.125,0.291,0.544
"BO21_silicatemean_ss",0.016,0.005,0.32,0.447,0.02,0.017,0.261,NA,0.017,0.017,0.239,0.424,0.029,0.034,0.347,0.254,0.022,0.026,0.345,0.117,0.025,0.019,0.237,0.185
"BO21_dissoxmin_ss",0.04,0.17,0.368,0.545,0.041,0.142,0.368,NA,0.049,0.108,0.327,0.653,0.055,0.195,0.444,0.472,0.049,0.153,0.722,0.49,0.049,0.169,0.375,0.313
