"","RF.RUN1.PA1","GBM.RUN1.PA1","GLM.RUN1.PA1","GAM.RUN1.PA1","RF.RUN2.PA1","GBM.RUN2.PA1","GLM.RUN2.PA1","GAM.RUN2.PA1","RF.RUN3.PA1","GBM.RUN3.PA1","GLM.RUN3.PA1","GAM.RUN3.PA1","RF.RUN4.PA1","GBM.RUN4.PA1","GLM.RUN4.PA1","GAM.RUN4.PA1","RF.RUN5.PA1","GBM.RUN5.PA1","GLM.RUN5.PA1","GAM.RUN5.PA1","RF.RUN6.PA1","GBM.RUN6.PA1","GLM.RUN6.PA1","GAM.RUN6.PA1"
"BO21_lightbotmax_bdmean",0.004,0.002,0,0.019,0.004,0.001,0.121,0.026,0.003,0,0,0.011,0.005,0.001,0.035,0.02,0.004,0,0,0.034,0.003,0.001,0.058,0.051
"BO_ph",0.031,0.164,0.432,0.305,0.017,0.013,0.145,0.314,0.025,0.124,0.344,0.194,0.022,0.128,0.277,0.274,0.023,0.097,0.318,0.386,0.03,0.133,0.243,0.268
"BO21_chlomean_ss",0.048,0.016,0,0.185,0.05,0.008,0.137,0.015,0.134,0.14,0.497,0.573,0.068,0.054,0.098,0.299,0.075,0.048,0.165,0.279,0.063,0.043,0.163,0.259
"BO21_silicatemean_ss",0.015,0.003,0.28,0.136,0.019,0.001,0.187,0.155,0.013,0.004,0.143,0.009,0.021,0.006,0.404,0.266,0.008,0.003,0.373,0.159,0.013,0.003,0.131,0.208
"coldest_quarter",0.387,0.709,0.661,0.987,0.332,0.594,0.563,0.796,0.346,0.671,0.848,0.846,0.299,0.595,0.794,0.869,0.373,0.642,0.845,0.958,0.378,0.633,0.928,0.823
"BO21_salinitymean_ss",0.075,0.032,0.275,0.055,0.12,0.359,0.362,0.414,0.046,0.022,0,0.051,0.062,0.048,0.142,0.126,0.066,0.065,0,0.298,0.071,0.054,0,0.021
"warmest_quarter",0.02,0,0.258,0.216,0.017,0.002,0,0.121,0.022,0,0.359,0.368,0.025,0.001,0,0.172,0.029,0.001,0.218,0.289,0.022,0,0.168,0.172
