"","RF.RUN1.PA1","GBM.RUN1.PA1","GLM.RUN1.PA1","RF.RUN2.PA1","GBM.RUN2.PA1","GLM.RUN2.PA1","RF.RUN3.PA1","GBM.RUN3.PA1","GLM.RUN3.PA1","RF.RUN4.PA1","GBM.RUN4.PA1","GLM.RUN4.PA1","RF.RUN5.PA1","GBM.RUN5.PA1","GLM.RUN5.PA1","RF.RUN6.PA1","GBM.RUN6.PA1","GLM.RUN6.PA1"
"BO21_tempmean_ss",0.09,0.16,0.663,0.073,0.137,0.686,0.127,0.282,0.678,0.141,0.249,0.604,0.063,0.017,0.522,0.096,0.211,0.689
"BO21_salinitymin_ss",0.08,0.141,0.144,0.053,0.036,0.178,0.028,0.01,0.142,0.029,0.015,0,0.025,0.02,0.173,0.037,0.02,0.192
"BO21_lightbotmax_bdmax",0.172,0.334,0.339,0.202,0.334,0.405,0.128,0.184,0.381,0.197,0.379,0.402,0.187,0.344,0.481,0.164,0.283,0.344
"BO_ph",0.019,0.006,0.225,0.014,0.006,0.217,0.004,0.002,0.202,0.01,0.006,0.179,0.005,0,0.137,0.013,0.004,0.196
"BO21_chlomean_ss",0.075,0.03,0.477,0.106,0.081,0.5,0.192,0.216,0.499,0.077,0.063,0.56,0.299,0.444,0.576,0.154,0.141,0.534
"BO21_silicatemean_ss",0.013,0.008,0,0.015,0.015,0.145,0.017,0.014,0.249,0.02,0.027,0.225,0.009,0.005,0,0.017,0.016,0.154
"BO21_dissoxmin_ss",0.016,0.008,0.384,0.019,0.008,0.445,0.018,0.003,0.425,0.015,0.004,0.409,0.013,0.003,0.379,0.02,0.01,0.408
