"","RF.RUN1.PA1","GBM.RUN1.PA1","GLM.RUN1.PA1","RF.RUN2.PA1","GBM.RUN2.PA1","GLM.RUN2.PA1","RF.RUN3.PA1","GBM.RUN3.PA1","GLM.RUN3.PA1","RF.RUN4.PA1","GBM.RUN4.PA1","GLM.RUN4.PA1","RF.RUN5.PA1","GBM.RUN5.PA1","GLM.RUN5.PA1","RF.RUN6.PA1","GBM.RUN6.PA1","GLM.RUN6.PA1"
"BO21_tempmean_ss",0.073,0.131,0.678,0.093,0.133,0.782,0.134,0.303,0.799,0.138,0.34,0.491,0.145,0.315,0.598,0.118,0.291,0.607
"BO21_salinitymin_ss",0.052,0.036,0.259,0.047,0.039,0.449,0.093,0.115,0.207,0.036,0.013,0.356,0.047,0.014,0.269,0.052,0.031,0.252
"BO21_lightbotmax_bdmax",0.178,0.492,0.345,0.166,0.311,0.361,0.126,0.276,0.43,0.198,0.425,0.418,0.189,0.394,0.44,0.176,0.342,0.405
"BO_ph",0.045,0.07,0.21,0.008,0.005,0.204,0.014,0.002,0.21,0.017,0.059,0.216,0.025,0.072,0.318,0.019,0.032,0.18
"BO21_chlomean_ss",0.172,0.057,0.361,0.258,0.521,0.534,0.15,0.115,0.382,0.166,0.098,0.37,0.169,0.06,0.447,0.166,0.096,0.355
"BO21_silicatemean_ss",0.02,0.031,0.162,0.015,0.032,0.352,0.036,0.109,0.24,0.017,0.032,0.152,0.022,0.063,0.436,0.026,0.044,0.203
"BO21_dissoxmin_ss",0.023,0.072,0.404,0.036,0.045,0.523,0.022,0.048,0.481,0.015,0.006,0.473,0.027,0.058,0.426,0.023,0.053,0.387
