"","rand1","rand2","rand3","rand4","rand5","rand6","rand7","rand8","rand9","rand10","rand11","rand12","rand13","rand14","rand15","rand16","rand17","rand18","rand19","rand20"
"BO21_tempmean_ss",0.348829,0.302788,0.289844,0.376919,0.292663,0.358631,0.30582,0.362239,0.29793,0.257993,0.315783,0.339724,0.303998,0.33553,0.343975,0.348376,0.330592,0.31808,0.333732,0.280389
"BO21_salinitymin_ss",0.082331,0.109286,0.09416,0.079357,0.097101,0.086844,0.085298,0.088651,0.106504,0.078034,0.090158,0.105425,0.0939219999999999,0.084033,0.090513,0.094761,0.089892,0.099015,0.090959,0.105193
"BO21_lightbotmax_bdmax",0.294455,0.37047,0.328199,0.360477,0.327475,0.327696,0.353825,0.297141,0.349276,0.317403,0.274605,0.359775,0.339666,0.356833,0.320274,0.326793,0.325958,0.337715,0.352179,0.332412
"BO_ph",0.054437,0.066849,0.058217,0.078853,0.06521,0.045957,0.054532,0.046857,0.06201,0.0547879999999999,0.064491,0.058949,0.059083,0.056003,0.054301,0.046806,0.047567,0.055277,0.055278,0.068434
"BO21_chlomean_ss",0.146743,0.200296,0.157101,0.209971,0.182801,0.178,0.191626,0.181024,0.155953,0.152824,0.174573,0.153722,0.160708,0.168001,0.164261,0.142784,0.187367,0.139491,0.173192,0.148737
"BO21_silicatemean_ss",0.063647,0.064801,0.049743,0.062136,0.062335,0.050699,0.04687,0.065127,0.055321,0.044601,0.045194,0.053469,0.043632,0.059936,0.066731,0.071983,0.056708,0.046845,0.049082,0.038519
"BO21_dissoxmin_ss",0.118859,0.13322,0.140878,0.123673,0.121066,0.120225,0.137207,0.131133,0.138938,0.128828,0.132581,0.131611,0.125149,0.140375,0.139578,0.11847,0.12482,0.132373,0.140274,0.127346
