"","rand1","rand2","rand3","rand4","rand5"
"BO21_lightbotmax_bdmean",0.015702,0.00914700000000002,0.013758,0.010621,0.009938
"BO_ph",0.121238,0.12508,0.098552,0.117211,0.127256
"BO21_chlomean_ss",0.130145,0.120897,0.118744,0.104051,0.113766
"BO21_silicatemean_ss",0.057887,0.056107,0.064624,0.04171,0.0446800000000001
"coldest_quarter",0.754812,0.704132,0.697015,0.718669,0.649928
"BO21_salinitymean_ss",0.020039,0.0182,0.020122,0.017881,0.016315
"warmest_quarter",0.052664,0.041125,0.036774,0.0538459999999999,0.046899
