"decimalLongitude","decimalLatitude","trve"
-64.7083333333333,32.375,1
-80.0416666666667,26.9583333333333,1
-79.2916666666667,25.7916666666667,1
-81.2083333333333,24.7083333333333,1
-81.125,24.7083333333333,1
-81.7083333333333,24.5416666666667,1
-81.375,24.5416666666667,1
-77.7916666666667,23.7083333333333,1
-77.125,23.4583333333333,1
-89.7083333333333,22.5416666666667,1
-89.7083333333333,22.375,1
-91.375,22.125,1
-86.9583333333333,21.875,1
-86.625,21.7916666666667,1
-87.9583333333333,21.625,1
-97.2083333333333,21.4583333333333,1
-86.7916666666667,21.0416666666667,1
-86.7916666666667,20.9583333333333,1
-86.875,20.875,1
-86.875,20.7916666666667,1
-86.9583333333333,20.7083333333333,1
-87.2083333333333,20.375,1
-91.9583333333333,20.2083333333333,1
-68.9583333333333,20.0416666666667,1
-87.625,19.625,1
-87.625,19.2916666666667,1
-96.0416666666667,19.2083333333333,1
-96.0416666666667,19.125,1
-95.9583333333333,19.125,1
-95.7916666666667,19.125,1
-72.625,18.7916666666667,1
-87.7083333333333,18.7083333333333,1
-87.7083333333333,18.625,1
-94.7916666666667,18.5416666666667,1
-94.7916666666667,18.4583333333333,1
-77.9583333333333,18.4583333333333,1
-77.4583333333333,18.4583333333333,1
-77.375,18.4583333333333,1
-65.7083333333333,18.375,1
-64.625,18.375,1
-63.0416666666667,18.0416666666667,1
-76.875,17.9583333333333,1
-67.0416666666667,17.9583333333333,1
-62.875,17.4583333333333,1
-78.7916666666667,17.2916666666667,1
-78.5416666666667,17.2083333333333,1
-87.7083333333333,16.7083333333333,1
-61.5416666666667,16.375,1
-61.4583333333333,16.2083333333333,1
-61.7916666666667,16.125,1
-79.875,15.7916666666667,1
-60.9583333333333,14.4583333333333,1
-60.875,14.375,1
-81.375,13.375,1
-59.625,13.2916666666667,1
-59.625,13.2083333333333,1
-59.5416666666667,13.0416666666667,1
-81.7083333333333,12.625,1
-81.7083333333333,12.5416666666667,1
-69.125,12.2916666666667,1
-72.2083333333333,12.2083333333333,1
-81.875,12.125,1
-68.9583333333333,12.125,1
-74.125,11.375,1
-74.2083333333333,11.2916666666667,1
-74.125,11.2916666666667,1
-74.2083333333333,11.2083333333333,1
-75.5416666666667,10.375,1
-75.625,10.2916666666667,1
-75.7083333333333,10.2083333333333,1
-75.625,10.2083333333333,1
-79.7083333333333,9.54166666666667,1
-78.9583333333333,9.54166666666667,1
-78.875,9.54166666666667,1
-82.2916666666667,9.45833333333334,1
-82.2083333333333,9.375,1
-82.125,9.29166666666667,1
-80.0416666666667,9.29166666666667,1
-77.375,8.70833333333334,1
-77.375,8.625,1
-77.2916666666667,8.625,1
-32.4583333333333,-3.79166666666666,1
-38.5416666666667,-12.9583333333333,1
-38.375,-12.9583333333333,1
-38.4583333333333,-16.375,1
-38.625,-16.5416666666667,1
-38.875,-19.2916666666667,1
-38.0416666666667,-19.2916666666667,1
-29.2916666666667,-20.5416666666667,1
-40.9583333333333,-21.4583333333333,1
-41.9583333333333,-22.5416666666667,1
-41.875,-22.7916666666667,1
-43.125,-22.9583333333333,1
-43.0416666666667,-22.9583333333333,1
-42.0416666666667,-22.9583333333333,1
