"x","y"
-1279.61823205551,1394.41689302719
-810.127770330194,956.371423610885
-1280.69155635232,1386.87930209917
1136.22992678965,1447.86403649415
-607.078371496169,1147.95792663239
-623.198720269458,1124.21539672669
-1214.06320075839,2709.08706300216
-988.652066265908,1058.08698850221
-1241.53032422925,1482.67841870475
-462.931233249433,1242.9433117512
3362.37443587964,-2204.23345966239
-457.001588267663,1249.61791820527
-614.922784189432,1142.25638647617
-945.215171706365,1915.40702603774
108.023096519195,2203.04756342504
988.770027919307,1595.01355098807
-1157.25282114746,2721.52019376228
-1108.6373091169,1027.01391975731
-448.646584562059,1252.25844396324
-1150.64054957906,2725.36667057691
-1066.01906545859,1056.15650741862
-915.402041236338,1898.60176325504
762.400167455614,1930.83221432353
110.819997493664,2210.31918158417
923.77863447465,1791.07198542008
-743.982431187915,2577.4931798429
3337.87892919975,-1894.81194059493
-809.764938591395,2611.3145950561
-848.149694922844,2040.38066198835
-1178.56827208534,2708.55903005201
-1293.64795766542,1350.01918442574
-2234.83595016599,2471.41059429381
-1004.13583639081,3024.2126143163
-1063.05484379769,1749.29428024151
-1352.65171265201,1050.22919792787
-2315.48207061168,2263.54234142099
-2841.95132348971,2426.54437885523
-2628.74976539816,2083.22111136886
-2638.06390418648,2090.773494753
748.577740875113,1993.73840977981
888.758922062363,1778.32272548024
913.289541742343,1811.20733367527
-2059.65188195087,2515.17794060231
-2054.80940839291,2495.81158986599
-1020.24764881393,2966.71382250587
2910.40472210762,-2574.85608289524
-241.440898400914,1347.60120010297
-1884.42953323804,2085.46211927846
981.934144518469,1599.69688875243
-1789.78486066236,2304.0112793469
-1781.19415713875,2315.10177301014
-1777.30967560249,2319.18794621237
-1767.05489689457,2336.80761023261
3359.67390126372,-1878.07417435439
2895.29356370823,-2596.89898642922
-2757.25637493149,2157.02037359331
3271.71999056647,-2200.8202982244
-1773.28393750609,2330.00331788814
-1887.40705380767,2073.36812350532
-1816.0185623805,2266.65938732505
-281.761716462629,2071.13784632309
-1740.0497103575,2416.10777602717
-1774.18505383247,2426.3513812995
2910.69814470867,-2550.2350762745
3026.44827945611,-2435.82298872305
-979.543114637483,1055.81626634643
-1904.87569691277,1867.92862062653
-1715.72184248977,2351.15395707357
-1880.97657732958,2404.57523193885
3393.26478770236,-1481.70935107381
3405.49055944706,-1488.83934346973
-2741.97082143185,2157.80216699548
-1867.24597312452,2152.09927566499
-1863.4539787934,2199.88373782067
-1864.48326554449,2187.02182984255
93.1004819079615,1358.03665524926
2790.74425902072,-2593.07073349974
-953.772890782415,2834.74159967014
1128.11536393178,1469.92651973975
319.60180028015,1976.59646103889
-733.109743887251,1978.04036590996
-2754.41024519565,2168.25905623583
576.313562589187,2030.14338442267
575.454128751477,2022.8512517638
2779.59392648121,-2590.4297189532
112.65378053699,1338.04896250459
-2728.2011100151,2160.51889469779
-1337.50429908988,1028.1938555252
-1344.0757336823,1036.89967332239
458.235657384431,2026.63424562834
521.850416660244,3540.82539728803
-792.16805601946,2037.94663591529
-786.734261891882,2037.5247949855
